cooler_id,door_opens,open_time,compressor,power,on_time,min_voltage,max_voltage,temperature,calday
767436ca4a132715e8fe6cff5ad1f2facbf0584aafd7153808fe021bcbae5eed,28.0,1.0,32.6042,108.5,24.0,84.0,120.0,5.2854,20241103
767436ca4a132715e8fe6cff5ad1f2facbf0584aafd7153808fe021bcbae5eed,13.0,1.0,35.0313,75.1667,16.0,94.0,120.0,4.8938,20241104
767436ca4a132715e8fe6cff5ad1f2facbf0584aafd7153808fe021bcbae5eed,23.0,1.0,37.1633,126.3333,24.0,84.0,118.0,4.8449,20241102
767436ca4a132715e8fe6cff5ad1f2facbf0584aafd7153808fe021bcbae5eed,37.0,1.0,21.375,66.5833,24.0,78.0,118.0,5.2896,20250126
767436ca4a132715e8fe6cff5ad1f2facbf0584aafd7153808fe021bcbae5eed,22.0,0.0,22.4681,67.8333,23.5,96.0,118.0,5.2426,20250125
767436ca4a132715e8fe6cff5ad1f2facbf0584aafd7153808fe021bcbae5eed,35.0,3.0,36.6939,137.0,24.0,74.0,114.0,6.7469,20240609
767436ca4a132715e8fe6cff5ad1f2facbf0584aafd7153808fe021bcbae5eed,21.0,1.0,27.5,67.75,16.0,76.0,116.0,7.2344,20240610
767436ca4a132715e8fe6cff5ad1f2facbf0584aafd7153808fe021bcbae5eed,21.0,0.0,42.9583,156.25,24.0,70.0,116.0,6.5729,20240608
767436ca4a132715e8fe6cff5ad1f2facbf0584aafd7153808fe021bcbae5eed,6.0,0.0,23.12,37.4167,12.5,90.0,116.0,6.264,20250312
767436ca4a132715e8fe6cff5ad1f2facbf0584aafd7153808fe021bcbae5eed,4.0,0.0,30.8235,33.6667,8.5,90.0,116.0,8.0118,20250412
767436ca4a132715e8fe6cff5ad1f2facbf0584aafd7153808fe021bcbae5eed,0.0,0.0,21.1739,31.5,11.5,94.0,120.0,6.1348,20241121
767436ca4a132715e8fe6cff5ad1f2facbf0584aafd7153808fe021bcbae5eed,26.0,1.0,22.3878,72.25,24.0,94.0,120.0,5.4694,20241120
767436ca4a132715e8fe6cff5ad1f2facbf0584aafd7153808fe021bcbae5eed,26.0,3.0,26.4375,82.25,24.0,86.0,120.0,5.2542,20241119
767436ca4a132715e8fe6cff5ad1f2facbf0584aafd7153808fe021bcbae5eed,16.0,1.0,25.6875,82.3333,24.0,90.0,118.0,5.3646,20241118
767436ca4a132715e8fe6cff5ad1f2facbf0584aafd7153808fe021bcbae5eed,30.0,3.0,20.375,68.5833,24.0,70.0,114.0,8.7938,20250416
767436ca4a132715e8fe6cff5ad1f2facbf0584aafd7153808fe021bcbae5eed,6.0,0.0,48.2381,66.6667,10.5,86.0,110.0,5.9381,20250417
767436ca4a132715e8fe6cff5ad1f2facbf0584aafd7153808fe021bcbae5eed,19.0,0.0,27.6875,91.0833,24.0,76.0,116.0,5.8875,20250401
767436ca4a132715e8fe6cff5ad1f2facbf0584aafd7153808fe021bcbae5eed,22.0,2.0,31.1042,100.5833,24.0,84.0,118.0,5.8313,20250331
767436ca4a132715e8fe6cff5ad1f2facbf0584aafd7153808fe021bcbae5eed,9.0,0.0,31.0667,64.0833,15.0,94.0,120.0,5.65,20241028
767436ca4a132715e8fe6cff5ad1f2facbf0584aafd7153808fe021bcbae5eed,13.0,0.0,28.2245,96.5,24.0,86.0,118.0,5.3286,20241027
767436ca4a132715e8fe6cff5ad1f2facbf0584aafd7153808fe021bcbae5eed,13.0,0.0,29.4375,98.4167,24.0,86.0,120.0,5.4063,20241026
1a7da0241d9242b0ae9f019085d7114ff80976dbea5954bcdd14363dee1dfd6c,,10.0,0.1379,,24.0,,,8.5345,20240612
1a7da0241d9242b0ae9f019085d7114ff80976dbea5954bcdd14363dee1dfd6c,,11.0,0.1667,,24.0,,,5.5208,20241223
1a7da0241d9242b0ae9f019085d7114ff80976dbea5954bcdd14363dee1dfd6c,,57.0,0.0417,,24.0,,,5.8062,20241222
1a7da0241d9242b0ae9f019085d7114ff80976dbea5954bcdd14363dee1dfd6c,,6.0,0.0417,,24.0,,,5.275,20241221
1a7da0241d9242b0ae9f019085d7114ff80976dbea5954bcdd14363dee1dfd6c,,15.0,0.0625,,24.0,,,5.2771,20241220
1a7da0241d9242b0ae9f019085d7114ff80976dbea5954bcdd14363dee1dfd6c,,8.0,0.1042,,24.0,,,5.3104,20241219
1a7da0241d9242b0ae9f019085d7114ff80976dbea5954bcdd14363dee1dfd6c,,5.0,0.0833,,24.0,,,5.2417,20241218
1a7da0241d9242b0ae9f019085d7114ff80976dbea5954bcdd14363dee1dfd6c,,35.0,0.0,,24.0,,,5.3062,20241217
1a7da0241d9242b0ae9f019085d7114ff80976dbea5954bcdd14363dee1dfd6c,,10.0,0.0417,,24.0,,,5.1792,20241216
1a7da0241d9242b0ae9f019085d7114ff80976dbea5954bcdd14363dee1dfd6c,,33.0,0.0625,,24.0,,,5.7437,20241215
1a7da0241d9242b0ae9f019085d7114ff80976dbea5954bcdd14363dee1dfd6c,,20.0,0.0625,,24.0,,,5.3417,20241214
1a7da0241d9242b0ae9f019085d7114ff80976dbea5954bcdd14363dee1dfd6c,,7.0,0.0833,,24.0,,,4.875,20241213
1a7da0241d9242b0ae9f019085d7114ff80976dbea5954bcdd14363dee1dfd6c,,10.0,0.125,,24.0,,,4.4313,20241212
1a7da0241d9242b0ae9f019085d7114ff80976dbea5954bcdd14363dee1dfd6c,,1.0,0.0625,,24.0,,,4.9604,20241211
1a7da0241d9242b0ae9f019085d7114ff80976dbea5954bcdd14363dee1dfd6c,,14.0,0.0417,,24.0,,,5.3083,20241210
1a7da0241d9242b0ae9f019085d7114ff80976dbea5954bcdd14363dee1dfd6c,,12.0,0.0625,,24.0,,,5.35,20241209
1a7da0241d9242b0ae9f019085d7114ff80976dbea5954bcdd14363dee1dfd6c,,14.0,0.0625,,24.0,,,5.6417,20241208
1a7da0241d9242b0ae9f019085d7114ff80976dbea5954bcdd14363dee1dfd6c,,0.0,,,24.0,,,,20250104
1a7da0241d9242b0ae9f019085d7114ff80976dbea5954bcdd14363dee1dfd6c,,1.0,0.0,,24.0,,,5.4583,20241224
1a7da0241d9242b0ae9f019085d7114ff80976dbea5954bcdd14363dee1dfd6c,,0.0,0.0,,24.0,,,7.6667,20241225
1a7da0241d9242b0ae9f019085d7114ff80976dbea5954bcdd14363dee1dfd6c,,13.0,0.1667,,24.0,,,5.1333,20241207
1a7da0241d9242b0ae9f019085d7114ff80976dbea5954bcdd14363dee1dfd6c,,6.0,0.0625,,24.0,,,5.0937,20241206
1a7da0241d9242b0ae9f019085d7114ff80976dbea5954bcdd14363dee1dfd6c,,7.0,0.0833,,24.0,,,5.1875,20241205
1a7da0241d9242b0ae9f019085d7114ff80976dbea5954bcdd14363dee1dfd6c,,11.0,0.2292,,24.0,,,5.4521,20241204
1a7da0241d9242b0ae9f019085d7114ff80976dbea5954bcdd14363dee1dfd6c,,21.0,0.0625,,24.0,,,8.8563,20240505
1a7da0241d9242b0ae9f019085d7114ff80976dbea5954bcdd14363dee1dfd6c,,11.0,0.0,,24.0,,,7.5324,20240506
1a7da0241d9242b0ae9f019085d7114ff80976dbea5954bcdd14363dee1dfd6c,,20.0,0.0833,,24.0,,,8.2771,20240504
1a7da0241d9242b0ae9f019085d7114ff80976dbea5954bcdd14363dee1dfd6c,,6.0,0.0625,,24.0,,,8.65,20240503
1a7da0241d9242b0ae9f019085d7114ff80976dbea5954bcdd14363dee1dfd6c,,6.0,0.2083,,24.0,,,6.7667,20250316
